state,actions,reward,next_state,done
2664,[[1 0 0 1 0 0 0 0 0 1 0 0]],1,1,[[1 0 0 1 0 0 0 0 0 1 0 0]],False
2665,[[1 0 0 1 0 0 0 0 0 1 0 0]],2,1,[[1 0 0 1 0 0 0 0 0 0 0 1]],False
2666,[[1 0 0 1 0 0 0 0 0 0 0 1]],1,1,[[1 0 0 1 0 0 0 0 0 0 0 1]],False
2667,[[1 0 0 1 0 0 0 0 0 0 0 1]],1,1,[[1 0 0 1 0 0 0 0 0 0 0 1]],False
2668,[[1 0 0 1 0 0 0 0 0 0 0 1]],1,1,[[1 0 0 1 0 0 0 0 0 0 0 1]],False
2669,[[1 0 0 1 0 0 0 0 0 0 0 1]],1,1,[[1 0 0 1 0 0 0 0 0 0 0 1]],False
2670,[[1 0 0 1 0 0 0 0 0 0 0 1]],1,1,[[1 0 0 1 0 0 0 0 0 0 0 1]],False
2671,[[1 0 0 1 0 0 0 0 0 0 0 1]],1,1,[[1 0 0 1 0 0 0 0 0 0 0 1]],False
2672,[[1 0 0 1 0 0 0 0 0 0 0 1]],1,1,[[1 0 0 1 0 0 0 0 0 0 0 1]],False
2673,[[1 0 0 1 0 0 0 0 0 0 0 1]],1,1,[[1 0 0 1 0 0 0 0 0 0 0 1]],False
2674,[[1 0 0 1 0 0 0 0 0 0 0 1]],1,1,[[1 0 0 1 0 0 0 0 0 0 0 1]],False
2675,[[1 0 0 1 0 0 0 0 0 0 0 1]],1,1,[[1 0 0 1 0 0 0 0 0 0 0 1]],False
2676,[[1 0 0 1 0 0 0 0 0 0 0 1]],1,1,[[1 0 0 1 0 0 0 0 0 0 0 1]],False
2677,[[1 0 0 1 0 0 0 0 0 0 0 1]],1,1,[[1 0 0 1 0 0 0 0 0 0 0 1]],False
2678,[[1 0 0 1 0 0 0 0 0 0 0 1]],2,-1,[[1 0 0 1 0 0 0 0 1 0 0 0]],False
2679,[[1 0 0 1 0 0 0 0 1 0 0 0]],1,-1,[[1 0 0 1 0 0 0 0 1 0 0 0]],False
2680,[[1 0 0 1 0 0 0 0 1 0 0 0]],1,-1,[[1 0 0 1 0 0 0 0 1 0 0 0]],False
2681,[[1 0 0 1 0 0 0 0 1 0 0 0]],1,-1,[[1 0 0 1 0 0 0 0 1 0 0 0]],False
2682,[[1 0 0 1 0 0 0 0 1 0 0 0]],1,-1,[[1 0 0 1 0 0 0 0 1 0 0 0]],False
2683,[[1 0 0 1 0 0 0 0 1 0 0 0]],1,-1,[[1 0 0 1 0 0 0 0 1 0 0 0]],False
2684,[[1 0 0 1 0 0 0 0 1 0 0 0]],1,-1,[[1 0 0 1 0 0 0 0 1 0 0 0]],False
2685,[[1 0 0 1 0 0 0 0 1 0 0 0]],1,-1,[[1 0 0 1 0 0 0 0 1 0 0 0]],False
2686,[[1 0 0 1 0 0 0 0 1 0 0 0]],1,-1,[[1 0 0 1 0 0 0 0 1 0 0 0]],False
2687,[[1 0 0 1 0 0 0 0 1 0 0 0]],1,-1,[[1 0 0 1 0 0 0 0 1 0 0 0]],False
2688,[[1 0 0 1 0 0 0 0 1 0 0 0]],1,-1,[[1 0 0 1 0 0 0 0 1 0 0 0]],False
2689,[[1 0 0 1 0 0 0 0 1 0 0 0]],2,-1,[[1 0 0 1 0 0 0 0 0 0 1 0]],False
2690,[[1 0 0 1 0 0 0 0 0 0 1 0]],1,-1,[[1 0 0 1 0 0 0 0 0 0 1 0]],False
2691,[[1 0 0 1 0 0 0 0 0 0 1 0]],1,-1,[[1 0 0 1 0 0 0 0 0 0 1 0]],False
2692,[[1 0 0 1 0 0 0 0 0 0 1 0]],1,-1,[[1 0 0 1 0 0 0 0 0 0 1 0]],False
2693,[[1 0 0 1 0 0 0 0 0 0 1 0]],1,-1,[[1 0 0 1 0 0 0 0 0 0 1 0]],False
2694,[[1 0 0 1 0 0 0 0 0 0 1 0]],1,-1,[[1 0 0 1 0 0 0 0 0 0 1 0]],False
2695,[[1 0 0 1 0 0 0 0 0 0 1 0]],1,-1,[[1 0 0 1 0 0 0 0 0 0 1 0]],False
2696,[[1 0 0 1 0 0 0 0 0 0 1 0]],1,-1,[[1 0 0 1 0 0 0 0 0 0 1 0]],False
2697,[[1 0 0 1 0 0 0 0 0 0 1 0]],1,-1,[[1 0 0 1 0 0 0 0 0 0 1 0]],False
2698,[[1 0 0 1 0 0 0 0 0 0 1 0]],1,-1,[[1 0 0 1 0 0 0 0 0 0 1 0]],False
2699,[[1 0 0 1 0 0 0 0 0 0 1 0]],1,-1,[[1 0 0 1 0 0 0 0 0 0 1 0]],False
2700,[[1 0 0 1 0 0 0 0 0 0 1 0]],1,-1,[[1 0 0 1 0 0 0 0 0 0 1 0]],False
2701,[[1 0 0 1 0 0 0 0 0 0 1 0]],2,1,[[1 0 0 1 0 0 0 0 0 1 0 0]],False
2702,[[1 0 0 1 0 0 0 0 0 1 0 0]],1,1,[[1 0 0 1 0 0 0 0 0 1 0 0]],False
2703,[[1 0 0 1 0 0 0 0 0 1 0 0]],1,1,[[1 0 0 1 0 0 0 0 0 1 0 0]],False
